scientific_name_original,scientific_name_corrected,page_number,remarks
Lilium jankae A. Kerner,Lilium jankae A. Kerner,10,
Lilium rhodopaeum Delip.,Lilium rhodopaeum Delip.,10,
Muscari gussonei (Parl.) Tod.,Muscari gussonei (Parl.) Tod.,10,
Ornithogalum reverchonii Lange,Ornithogalum reverchonii Lange,10,
Scilla morrisii Meikle,Scilla morrisii Meikle,11,
Scilla odorata Link,Scilla odorata Link,11,
Tulipa cypria Stapf,Tulipa cypria Stapf,11,
Tulipa goulimyi Sealy & Turrill,Tulipa goulimyi Sealy & Turrill,11,
Tulipa hungarica Borbas,Tulipa hungarica Borbas,11,
Tulipa praecox Ten.,Tulipa praecox Ten.,11,
Tulipa sprengeri Baker,Tulipa sprengeri Baker,11,
Linum dolomiticum Borbas,Linum dolomiticum Borbas,11,
Lythrum flexuosum Lag.,Lythrum flexuosum Lag.,11,
Lythrum thesioides M.Bieb.,Lythrum thesioides M.Bieb.,11,
Kosteletzkya pentacarpos (L.) Ledeb.,Kosteletzkya pentacarpos (L.) Ledeb.,11,
Caulinia tenuissima (A. br. ex Magnus) Tzvel.,Caulinia tenuissima (A. br. ex Magnus) Tzvel.,11,
Najas flexilis (Willd.) Rostk. & W.L.Schmidt,Najas flexilis (Willd.) Rostk. & W.L.Schmidt,11,
Najas tenuissima (A.Braun) Magnus,Najas tenuissima (A.Braun) Magnus,11,
Syringa josikaea Jacq. fil.,Syringa josikaea Jacq. fil.,11,
Cephalanthera cucullata Boiss. & Heldr.,Cephalanthera cucullata Boiss. & Heldr.,11,
Comperia comperiana (Steven) Aschers. & Graebner,Comperia comperiana (Steven) Aschers. & Graebner,11,
Cypripedium calceolus L.,Cypripedium calceolus L.,11,
Dactylorhiza chuhensis Renz & Taub.,Dactylorhiza chuhensis Renz & Taub.,11,
Himantoglossum caprinum (Bieb.) C. Koch,Himantoglossum caprinum (Bieb.) C. Koch,11,
Liparis loeselii (L.) Rich.,Liparis loeselii (L.) Rich.,11,
Ophrys argolica Fleischm.,Ophrys argolica Fleischm.,11,
Ophrys isaura Renz & Taub.,Ophrys isaura Renz & Taub.,11,
Ophrys kotschyi Fleischm. & Soo,Ophrys kotschyi Fleischm. & Soo,11,
Ophrys lunulata Parl.,Ophrys lunulata Parl.,11,
Ophrys lycia Renz & Taub.,Ophrys lycia Renz & Taub.,11,
Ophrys oestrifera Bieb.,Ophrys oestrifera Bieb.,11,
Ophrys taurica (Aggeenko) Nevski.,Ophrys taurica (Aggeenko) Nevski.,11,
Orchis provincialis Balb.,Orchis provincialis Balb.,11,
Orchis punctulata Stev. ex Lindl.,Orchis punctulata Stev. ex Lindl.,11,
Platanthera obtusata (Pursh) Lindl. subsp. oligantha (Turcz.) Hulten,Platanthera obtusata (Pursh) Lindl. subsp. oligantha (Turcz.) Hulten,11,
Spiranthes aestivalis (Poiret) L.C.M. Richard,Spiranthes aestivalis (Poiret) L.C.M. Richard,11,
Steveniella satyrioides (Stev.) Schlechter.,Steveniella satyrioides (Stev.) Schlechter.,11,
Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,11,
Paeonia clusii F.C.Stern (Stern) subsp. rhodia (Stearn) Tzanoudakis,Paeonia clusii F.C.Stern (Stern) subsp. rhodia (Stearn) Tzanoudakis,11,
Paeonia officinalis L. subsp. banatica (Rochel) Soo,Paeonia officinalis L. subsp. banatica (Rochel) Soo,12,
Paeonia parnassica Tzanoudakis,Paeonia parnassica Tzanoudakis,12,
Paeonia tenuifolia L.,Paeonia tenuifolia L.,12,
Phoenix theophrasti Greuter,Phoenix theophrasti Greuter,12,
Papaver lapponicum (Tolm.) Nordh.,Papaver lapponicum (Tolm.) Nordh.,12,
Rupicapnos africana (Lam.) Pomel,Rupicapnos africana (Lam.) Pomel,12,
Armeria pseudarmeria (Murray) Mansfeld,Armeria pseudarmeria (Murray) Mansfeld,12,
Armeria rouyana Daveau,Armeria rouyana Daveau,12,
Armeria soleirolii (Duby) Godron,Armeria soleirolii (Duby) Godron,12,
Armeria velutina Welv. ex Boiss. & Reuter,Armeria velutina Welv. ex Boiss. & Reuter,12,
Limonium anatolicum Hedge,Limonium anatolicum Hedge,12,
Limonium tamaricoides Bokhari,Limonium tamaricoides Bokhari,12,
Polemonium boreale Adams,Polemonium boreale Adams,12,
Polygonum praelongum Coode & Cullen,Polygonum praelongum Coode & Cullen,12,
Rheum rhaponticum L.,Rheum rhaponticum L.,12,
Rumex rupestris Le Gall,Rumex rupestris Le Gall,12,
Posidonia oceanica (L.) Delile (Med.),Posidonia oceanica (L.) Delile (Med.),12,
Androsace cylindrica DC.,Androsace cylindrica DC.,12,
Androsace mathildae Levier,Androsace mathildae Levier,12,
Androsace pyrenaica Lam.,Androsace pyrenaica Lam.,12,
Cyclamen coum Mill.,Cyclamen coum Mill.,12,
Cyclamen kuznetzovii Kotov et Czernova.,Cyclamen kuznetzovii Kotov et Czernova.,12,
Cyclamen mirabile Hildebr.,Cyclamen mirabile Hildebr.,12,
Lysimachia minoricensis J.D.Rodriguez,Lysimachia minoricensis J.D.Rodriguez,12,
Primula apennina Widmer,Primula apennina Widmer,12,
Primula deorum Velen.,Primula deorum Velen.,12,
Primula frondosa Janka,Primula frondosa Janka,12,
Primula egaliksensis Wormsk.,Primula egaliksensis Wormsk.,12,
Primula glaucescens Moretti,Primula glaucescens Moretti,12,
Primula palinuri Petagna,Primula palinuri Petagna,13,
Primula spectabilis Tratt.,Primula spectabilis Tratt.,13,
Primula wulfeniana Scot subsp. baumgarteniana (Degen & Moesz) Ludi,Primula wulfeniana Scot subsp. baumgarteniana (Degen & Moesz) Ludi,13,
Soldanella villosa Darracq,Soldanella villosa Darracq,13,
Aconitum corsicum Gayer,Aconitum corsicum Gayer,13,
Aconitum flerovii Steinb.,Aconitum flerovii Steinb.,13,
Aconitum lasiocarpum (Reichenb.) Gáyer,Aconitum lasiocarpum (Reichenb.) GÃ¡yer,13,
"Adonis cyllenea Boiss., Heldr. & Orph.","Adonis cyllenea Boiss., Heldr. & Orph.",13,
Adonis distorta Ten.,Adonis distorta Ten.,13,
Anemone uralensis Fisch. ex DC.,Anemone uralensis Fisch. ex DC.,13,
Aquilegia bertolonii Schott,Aquilegia bertolonii Schott,13,
Aquilegia kitaibelii Schott,Aquilegia kitaibelii Schott,13,
Aquilegia ottonis Orph. ex Boiss. subsp. taygetea (Orph.) Strid,Aquilegia ottonis Orph. ex Boiss. subsp. taygetea (Orph.) Strid,13,
Aquilegia pyrenaica DC. subsp. cazorlensis (Heywood) Galiano & Rivas,Aquilegia pyrenaica DC. subsp. cazorlensis (Heywood) Galiano & Rivas Martinez (Aquilegia cazorlensis Heywood),13,
Consolida samia P.H.Davis,Consolida samia P.H.Davis,13,
Delphinium caseyi B.L.Burtt,Delphinium caseyi B.L.Burtt,13,
Pulsatilla grandis Wend. (Pulsatilla vulgaris subsp. grandis (Wend.) Zamels,Pulsatilla grandis Wend.,13,removed Pulsatilla vulgaris subsp. grandis (Wend.) Zamels
Pulsatilla patens (L.) Miller,Pulsatilla patens (L.) Miller,13,
Pulsatilla slavica G. Reuss,Pulsatilla slavica G. Reuss,13,
Ranunculus fontanus C. Presl,Ranunculus fontanus C. Presl,13,
Ranunculus kykkoensis Meikle,Ranunculus kykkoensis Meikle,13,
Ranunculus weyleri Marès,Ranunculus weyleri MarÃ¨s,13,
Reseda decursiva Forssk.,Reseda decursiva Forssk.,13,
Crataegus dikmensis Pojark,Crataegus dikmensis Pojark,13,
Geum bulgaricum Panc.,Geum bulgaricum Panc.,13,
Potentilla delphinensis Gren. & Godron,Potentilla delphinensis Gren. & Godron,13,
Potentilla emilii-popii E. I. Nayardy,Potentilla emilii-popii E. I. Nayardy,13,
Potentilla silesiaca Uechtr.,Potentilla silesiaca Uechtr.,13,
Pyrus anatolica Browicz,Pyrus anatolica Browicz,13,
Galium cracoviense Ehrend.,Galium cracoviense Ehrend.,13,
Galium globuliferum Hub.-Mor. & Reese,Galium globuliferum Hub.-Mor. & Reese,13,
Galium litorale Guss.,Galium litorale Guss.,13,
Galium moldavicum (Dobrescu) Franco,Galium moldavicum (Dobrescu) Franco,13,
Galium rhodopeum Velen.,Galium rhodopeum Velen.,13,
Galium viridiflorum Boiss. & Reuter,Galium viridiflorum Boiss. & Reuter,13,
Thesium ebracteatum Hayne,Thesium ebracteatum Hayne,13,
Saxifraga berica (Beguinot) D.A.Webb,Saxifraga berica (Beguinot) D.A.Webb,13,
Saxifraga cintrana Kuzinsky ex Willk.,Saxifraga cintrana Kuzinsky ex Willk.,13,
Saxifraga florulenta Moretti,Saxifraga florulenta Moretti,13,
Saxifraga hirculus L.,Saxifraga hirculus L.,13,
Saxifraga presolanensis Engl.,Saxifraga presolanensis Engl.,13,
Saxifraga tombeanensis Boiss. ex Engl.,Saxifraga tombeanensis Boiss. ex Engl.,13,
Saxifraga valdensis DC.,Saxifraga valdensis DC.,14,
Saxifraga vayredana Luizet,Saxifraga vayredana Luizet,14,
Antirrhinum charidemi Lange,Antirrhinum charidemi Lange,14,
Euphrasia marchesettii Wettst. ex Marches.,Euphrasia marchesettii Wettst. ex Marches.,14,
Linaria algarviana Chav.,Linaria algarviana Chav.,14,
Linaria ficalhoana Rouy,Linaria ficalhoana Rouy,14,
Linaria flava (Poiret) Desf.,Linaria flava (Poiret) Desf.,14,
Linaria hellenica Turril,Linaria hellenica Turril,14,
Linaria loeselii Schweigger,Linaria loeselii Schweigger,14,
Linaria pseudolaxiflora Lojacono,Linaria pseudolaxiflora Lojacono,14,
Linaria ricardoi Cout.,Linaria ricardoi Cout.,14,
Linaria tursica B.Valdes & Cabezudo,Linaria tursica B.Valdes & Cabezudo,14,
Lindernia procumbens (Krocker) Philcox,Lindernia procumbens (Krocker) Philcox,14,
Odontites granatensis Boiss.,Odontites granatensis Boiss.,14,
Pedicularis sudetica Willd.,Pedicularis sudetica Willd.,14,
Verbascum afyonense Hub.-Mor.,Verbascum afyonense Hub.-Mor.,14,
Verbascum basivelatum Hub.-Mor.,Verbascum basivelatum Hub.-Mor.,14,
Verbascum cylleneum (Boiss. & Heldr.) Kuntze,Verbascum cylleneum (Boiss. & Heldr.) Kuntze,14,
Verbascum degenii Hal.,Verbascum degenii Hal.,14,
Verbascum purpureum (Janka) Hub.-Mor.,Verbascum purpureum (Janka) Hub.-Mor.,14,
Verbascum stepporum Hub.-Mor.,Verbascum stepporum Hub.-Mor.,14,
Veronica euxina Turrill,Veronica euxina Turrill,14,
Veronica oetaea L.-A.Gustavsson,Veronica oetaea L.-A.Gustavsson,14,
Veronica turrilliana Stoj. et Stef.,Veronica turrilliana Stoj. et Stef.,14,
Globularia stygia Orph. ex Boiss.,Globularia stygia Orph. ex Boiss.,14,
Atropa baetica Willk.,Atropa baetica Willk.,14,
Mandragora officinarum L.,Mandragora officinarum L.,14,
Daphne arbuscula Celak.,Daphne arbuscula Celak.,14,
Daphne petraea Leybold,Daphne petraea Leybold,14,
Daphne rodriguezii Texidor,Daphne rodriguezii Texidor,14,
Thymelea broterana Coutinho,Thymelaea broteriana Coutinho,14,broterana to broteriana
Trapa natans L.,Trapa natans L.,14,
Typha minima Funk,Typha minima Funk,14,
Typha shuttleworthii Koch & Sonder,Typha shuttleworthii Koch & Sonder,14,
Zelkova abelicea (Lam.) Boiss.,Zelkova abelicea (Lam.) Boiss.,15,
Angelica heterocarpa Lloyd,Angelica heterocarpa Lloyd,15,
Angelica palustris (Besser) Hoffman,Angelica palustris (Besser) Hoffman,15,
Apium bermejoi Llorens,Apium bermejoi Llorens,15,
Apium repens (Jacq.) Lag.,Apium repens (Jacq.) Lag.,15,
Athamanta cortiana Ferrarini,Athamanta cortiana Ferrarini,15,
Bupleurum capillare Boiss. & Heldr.,Bupleurum capillare Boiss. & Heldr.,15,
Bupleurum dianthifolium Guss.,Bupleurum dianthifolium Guss.,15,
Bupleurum kakiskalae Greuter,Bupleurum kakiskalae Greuter,15,
Eryngium alpinum L.,Eryngium alpinum L.,15,
Eryngium viviparum Gay,Eryngium viviparum Gay,15,
Ferula halophila H.Pesmen,Ferula halophila H.Pesmen,15,
Ferula orientalis L.,Ferula orientalis L.,15,
Ferula sadleriana Ledebour,Ferula sadleriana Ledebour,15,
Laserpitium longiradium Boiss.,Laserpitium longiradium Boiss.,15,
Naufraga balearica Constance & Cannon,Naufraga balearica Constance & Cannon,15,
Oenanthe conioides Lange,Oenanthe conioides Lange,15,
Petagnia saniculifolia Guss.,Petagnia saniculifolia Guss.,15,
Rouya polygama (Desf.) Coincy,Rouya polygama (Desf.) Coincy,15,
Seseli intricatum Boiss.,Seseli intricatum Boiss.,15,
Thorella verticillatinundata (Thore) Briq.,Thorella verticillatinundata (Thore) Briq.,15,
"Centranthus kellererii (Stoj., Stef. et Georg.) J.K.B. Richardson.","Centranthus kellereri (Stoj., Stef. et Georg.) J.K.B. Richardson.",15,added i
Centranthus trinervis (Viv.) Béguinot,Centranthus trinervis (Viv.) BÃ©guinot,15,
Viola athois W.Becker,Viola athois W.Becker,15,
Viola cazorlensis Gandoger,Viola cazorlensis Gandoger,15,
Viola cryana Gillot,Viola cryana Gillot,15,
Viola delphinantha Boiss.,Viola delphinantha Boiss.,15,
Viola hispida Lam.,Viola hispida Lam.,15,
Viola jaubertiana Marès & Vigineix,Viola jaubertiana MarÃ¨s & Vigineix,15,
Cymodocea nodosa (Ucria) Ascherson (Med.),Cymodocea nodosa (Ucria) Ascherson (Med.),15,
Zostera marina L. (Med.),Zostera marina L. (Med.),16,
Notothylas orbicularis (Schwein.) Sull.,Notothylas orbicularis (Schwein.) Sull.,16,
Mannia triandra (Scop.) Grolle,Mannia triandra (Scop.) Grolle,16,
Cephalozia macounii (Aust.) Aust.,Cephalozia macounii (Aust.) Aust.,16,
Petalophyllum ralfsii (Wils.) Nees et Gott. ex Lehm.,Petalophyllum ralfsii (Wils.) Nees et Gott. ex Lehm.,16,
Frullania parvistipula Steph.,Frullania parvistipula Steph.,16,
Marsupella profunda Lindb.,Marsupella profunda Lindb.,16,
Jungermannia handelii (Schiffn.) Amak.,Jungermannia handelii (Schiffn.) Amak.,16,
Riccia breidleri Jur. ex Steph.,Riccia breidleri Jur. ex Steph.,16,
Riella helicophylla (Mont.) Hook.,Riella helicophylla (Mont.) Hook.,16,
Scapania massalongi (K.Muell.) K.Muell.,Scapania massalongi (K.Muell.) K.Muell.,16,
Drepanocladus vernicosus (Mitt.) Warnst.,Drepanocladus vernicosus (Mitt.) Warnst.,16,
Bruchia vogesiaca Schwaegr.,Bruchia vogesiaca Schwaegr.,16,
Buxbaumia viridis (Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.,Buxbaumia viridis (Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.,16,
Atractylocarpus alpinus (Schimp. ex Milde) Lindb.,Atractylocarpus alpinus (Schimp. ex Milde) Lindb.,16,
Cynodontium suecicum (H.Arn. & C.Jens.) I.Hag.,Cynodontium suecicum (H.Arn. & C.Jens.) I.Hag.,17,
Dicranum viride (Sull. & Lesq.) Lindb.,Dicranum viride (Sull. & Lesq.) Lindb.,17,
Dichelyma capillaceum (With.) Myr.,Dichelyma capillaceum (With.) Myr.,17,
Pyramidula tetragona (Brid.) Brid.,Pyramidula tetragona (Brid.) Brid.,17,
Distichophyllum carinatum Dix. & Nich.,Distichophyllum carinatum Dix. & Nich.,17,
Meesia longiseta Hedw.,Meesia longiseta Hedw.,17,
Orthotrichum rogeri Brid.,Orthotrichum rogeri Brid.,17,
Sphagnum pylaisii Brid.,Sphagnum pylaisii Brid.,17,
Tayloria rudolphiana (Garov.) Bruch & Schimper,Tayloria rudolphiana (Garov.) Bruch & Schimper,17,
Caulerpa ollivieri (Med.),Caulerpa ollivieri (Med.),17,
Cystoseira amentacea (inclus var. stricta et var. spicata) (Med.),Cystoseira amentacea (inclus var. stricta et var. spicata),17,removed (Med.)
Cystoseira mediterranea (Med.),Cystoseira mediterranea,17,removed (Med.)
Cystoseira sedoides (Med.),Cystoseira sedoides,17,removed (Med.)
Cystoseira spinosa (inclus C. adriatica) (Med.),Cystoseira spinosa (inclus C. adriatica),17,removed (Med.)
Cystoseira zosteroides (Med.),Cystoseira zosteroides,18,removed (Med.)
Laminaria rodriguezii (Med.),Laminaria rodriguezii,18,
Laminaria ochroleuca (Med.),Laminaria ochroleuca,18,removed (Med.)
Goniolithon byssoides (Med.),Goniolithon byssoides,18,removed (Med.)
Lithophyllum lichenoides (Med.),Lithophyllum lichenoides,18,removed (Med.)
Ptilophora mediterranea (Med.),Ptilophora mediterranea,18,removed (Med.)
Schimmelmannia schousboei = S. ornata (Med.),Schimmelmannia schousboei,18,removed (Med.)
"Asplenium azoricum Lovis, Rasbach & Reichstein","Asplenium azoricum Lovis, Rasbach & Reichstein",18,
Polystichum drepanum (Swartz) C.Presl,Polystichum drepanum (Swartz) C.Presl,18,
Hymenophyllum maderensis Gibby & Lowis,Hymenophyllum maderense Gibby & Lowis,18,change is to se
Isoetes azorica Durieu ex Milde,Isoetes azorica Durieu ex Milde,18,
Diphasium maderense (Wilce.) Rothm.,Diphasium madeirense (Wilce.) Rothm.,18,added i
Marsilea azorica Launert,Marsilea azorica Launert,18,
Juniperus brevifolia (Seub.) Antoine,Juniperus brevifolia (Seub.) Antoine,18,
Dracaena draco (L.) L.,Dracaena draco (L.) L.,18,
Caralluma burchardii N.E.Brown,Caralluma burchardii N.E.Brown,18,
Ceropegia chrysantha Svent.,Ceropegia chrysantha Svent.,18,
Berberis maderensis Lowe,Berberis maderensis Lowe,18,
Echium gentianoides Webb ex Coincy,Echium gentianoides Webb ex Coincy,19,
Echium handiense Svent.,Echium handiense Svent.,19,
Echium pininana Webb et Berth.,Echium pininana Webb et Berth.,19,
Myosotis azorica H.C.Watson,Myosotis azorica H.C.Watson,19,
Myosotis maritima Hochst. ex Seub.,Myosotis maritima Hochst. ex Seub.,19,
Azorina vidalii (H.C.Watson) Feer,Azorina vidalii (H.C.Watson) Feer,19,
Musschia aurea (L.f.) DC.,Musschia aurea (L.f.) DC.,19,
Musschia wollastonii Lowe,Musschia wollastonii Lowe,19,
Sambucus palmensis Link,Sambucus palmensis Link,19,
Cerastium azoricum Hochst.,Cerastium azoricum Hochst.,19,
Silene nocteolens Webb et Berth,Silene nocteolens Webb et Berth,19,
Cistus chinamadensis Bañares & Romero,Cistus chinamadensis BaÃ±ares & Romero,19,
Helianthemum bystropogophyllum Svent.,Helianthemum bystropogophyllum Svent.,19,
Helianthemum teneriffae Cosson,Helianthemum teneriffae Cosson,19,
Andryala crithmifolia Ait.,Andryala crithmifolia Ait.,19,
Argyranthemum lidii Humphries,Argyranthemum lidii Humphries,19,
Argyranthemum pinnatifidum (L.F.) Lowe subsp. succulentum (Lowe) Humphries,Argyranthemum pinnatifidum (L.F.) Lowe subsp. succulentum (Lowe) Humphries,19,
Argyranthemum winterii (Svent.) Humphries,Argyranthemum winterii (Svent.) Humphries,19,
Atractylis arbuscula Svent. & Michaelis,Atractylis arbuscula Svent. & Michaelis,20,
Atractylis preauxiana Schultz Bip.,Atractylis preauxiana Schultz Bip.,20,
Bellis azorica Hochst. ex Seub.,Bellis azorica Hochst. ex Seub.,20,
Calendula maderensis Dc.,Calendula maderensis Dc.,20,
Cheirolophus duranii (Burchard) Holub,Cheirolophus duranii (Burchard) Holub,20,
Cheirolophus falsisectus Montelongo et Moraleda,Cheirolophus falcisectus Montelongo et Moraleda,20,changed s to c
Cheirolophus ghomerythus (Svent.) Holub,Cheirolophus ghomerythus (Svent.) Holub,20,
Cheirolophus junonianus (Svent.) Holub,Cheirolophus junonianus (Svent.) Holub,20,
Cheirolophus metlesicsii Montelongo,Cheirolophus metlesicsii Montelongo,20,
Cheirolophus santosabreui Santos,Cheirolophus santosabreui Santos,20,
Cheirolophus satarataensis (Svent.) Holub,Cheirolophus satarataensis (Svent.) Holub,20,
Cheirolophus tagananensis (Svent.) Holub,Cheirolophus tagananensis (Svent.) Holub,20,
Helichrysum monogynum B.L. Burth. & Sunding,Helichrysum monogynum B.L. Burth. & Sunding,20,
Helichrysum gossypinum Webb,Helichrysum gossypinum Webb,20,
Hypochoeris oligocephala (Svent. & D.Bramwell) Lack,Hypochoeris oligocephala (Svent. & D.Bramwell) Lack,20,
Lactuca watsoniana Trelease,Lactuca watsoniana Trelease,20,
Leontodon filii (Hochst. ex Seub.) Paiva & Orm.,Leontodon filii (Hochst. ex Seub.) Paiva & Orm.,20,
Onopordum carduelinum Bolle,Onopordum carduelinum Bolle,20,
Onopordum nogalesii Svent.,Onopordum nogalesii Svent.,20,
Pericallis hadrosoma Svent.,Pericallis hadrosoma Svent.,20,
Pericallis malvifolia (L'Hér) B. Nord.,Pericallis malvifolia (L'HÃ©r) B. Nord.,20,
Phagnalon benetii Lowe,Phagnalon benetii Lowe,20,
Senecio hermosae Pitard,Senecio hermosae Pitard,20,
Sonchus gandogeri Pitard,Sonchus gandogeri Pitard,20,
Stemmacantha cynaroides (C. Smith in Bruch) Dittrich,Stemmacantha cynaroides (C. Smith in Bruch) Dittrich,20,
Sventenia bupleuroides Font Quer,Sventenia bupleuroides Font Quer,20,
Tanacetum o'shanahanii Febles. Marrero et Suárez,Tanacetum o'shanahanii Febles. Marrero et SuÃ¡rez,20,
Tanacetum ptarmiciflorum (Webb) Schultz Bip.,Tanacetum ptarmiciflorum (Webb) Schultz Bip.,20,
Tolpis glabrescens Kämmer,Tolpis glabrescens KÃ¤mmer,20,
Convolvulus caput-medusae Lowe,Convolvulus caput-medusae Lowe,20,
Convolvulus lopez-socasi Svent.,Convolvulus lopez-socasi Svent.,20,
Convolvulus massonii A.Dietr.,Convolvulus massonii A.Dietr.,20,
Pharbitis preauxii Webb,Pharbitis preauxii Webb,20,
Aeonium balsamiferum Webb et Berth.,Aeonium balsamiferum Webb et Berth.,20,
Aeonium gomeraense Praeger,Aeonium gomeraense Praeger,20,
Aeonium saundersii Bolle,Aeonium saundersii Bolle,20,
Aichrysum dumosum (Lowe) Praeg.,Aichrysum dumosum (Lowe) Praeg.,20,
Monanthes wildpretii Bañares & Scholz,Monanthes wildpretii BaÃ±ares & Scholz,20,
Crambe arborea Webb ex Christ,Crambe arborea Webb ex Christ,20,
Crambe laevigata DC. ex Christ,Crambe laevigata DC. ex Christ,20,
Crambe scoparia Svent.,Crambe scoparia Svent.,21,
Crambe sventenii B.Petters. ex Bramw. & Sunding,Crambe sventenii B.Petters. ex Bramw. & Sunding,21,
Parolinia schizogynoides Svent.,Parolinia schizogynoides Svent.,21,
Sinapidendron sempervivifolium Mnzs.,Sinapidendron sempervivifolium Mnzs.,21,
Carex malato-belizii Raymond,Carex malato-belizii Raymond,21,
Scabiosa nitens Roem. & Schult.,Scabiosa nitens Roem. & Schult.,21,
Daboecia azorica Tutin & Warb.,Daboecia azorica Tutin & Warb.,21,
Erica scoparia L. subsp. azorica (Hochst.) D.A.Webb,Erica scoparia L. subsp. azorica (Hochst.) D.A.Webb,21,
Euphorbia bourgaeana Gay ex Boiss.,Euphorbia bourgaeana Gay ex Boiss.,21,
Euphorbia handiensis Burchard,Euphorbia handiensis Burchard,21,
Euphorbia lambii Svent.,Euphorbia lambii Svent.,21,
Euphorbia stygiana H.C.Watson,Euphorbia stygiana H.C.Watson,21,
Geranium maderense Yeo,Geranium maderense Yeo,21,
Agrostis gracililaxa Franco,Agrostis gracililaxa Franco,21,
Deschampsia maderensis (Hack. et Bornm.) Buschm.,Deschampsia maderensis (Hack. et Bornm.) Buschm.,21,
Phalaris maderensis (Mnzs.) Mnzs.,Phalaris maderensis (Mnzs.) Mnzs.,21,
Micromeria glomerata P. Pérez,Micromeria glomerata P. PÃ©rez,21,
Micromeria leucantha Svent. ex Pérez,Micromeria leucantha Svent. ex PÃ©rez,21,
Salvia herbanica Santos et Fernández,Salvia herbanica Santos et FernÃ¡ndez,21,
Sideritis cystosiphon Svent.,Sideritis cystosiphon Svent.,21,
Sideritis discolor (Webb ex de Noe) Bolle,Sideritis discolor (Webb ex de Noe) Bolle,21,
Sideritis infernalis Bolle,Sideritis infernalis Bolle,21,
Sideritis marmorea Bolle.,Sideritis marmorea Bolle.,21,
Teucrium abutiloides l'Her.,Teucrium abutiloides l'Her.,21,
Adenocarpus ombriosus Ceb. & Ort.,Adenocarpus ombriosus Ceb. & Ort.,21,
Anthyllis lemanniana Lowe,Anthyllis lemanniana Lowe,21,
Anagyris latifolia Brouss. ex Willd.,Anagyris latifolia Brouss. ex Willd.,21,
Cicer canariensis Santos & Gweil,Cicer canariense Santos & Gweil,22,changed is to e
Dorycnium spectabile Webb & Berthel.,Dorycnium spectabile Webb & Berthel.,22,
Genista benehoavensis (Bolle ex Svent.) Del Arco,Genista benehoavensis (Bolle ex Svent.) Del Arco,22,
Lotus azoricus P.W.Ball,Lotus azoricus P.W.Ball,22,
Lotus callis-viridis D.Bramwell & D.H.Davis,Lotus callis-viridis D.Bramwell & D.H.Davis,22,
Lotus eremiticus Santos,Lotus eremiticus Santos,22,
Lotus kunkelii (Esteve) D.Bramwell & D.H. Davis,Lotus kunkelii (Esteve) D.Bramwell & D.H. Davis,22,
Lotus maculatus Breitfeld,Lotus maculatus Breitfeld,22,
Lotus pyranthus P. Perez,Lotus pyranthus P. Perez,22,
Teline nervosa (Esteve) A. Hansen et Sund.,Teline nervosa (Esteve) A. Hansen et Sund.,22,
Teline rosmarinifolia Webb & Berthel.,Teline rosmarinifolia Webb & Berthel.,22,
Teline salsoloides Arco & Acebes.,Teline salsoloides Arco & Acebes.,22,
Vicia dennesiana H.C.Watson,Vicia dennesiana H.C.Watson,22,
Androcymbium psammophilum Svent.,Androcymbium psammophilum Svent.,22,
Smilax divaricata Sol. ex Wats.,Smilax divaricata Sol. ex Wats.,22,
Myrica rivas-martinezii Santos.,Myrica rivas-martinezii Santos.,22,
Jasminum azoricum L.,Jasminum azoricum L.,22,
Picconia azorica (Tutin) Knbol.,Picconia azorica (Tutin) Knbol.,22,
Barlia metlesicsiaca Teschner,Barlia metlesicsiana Teschner,22,change siaeca to csiana
Goodyera macrophylla Lowe,Goodyera macrophylla Lowe,22,
Orchis scopulorum Summerh.,Orchis scopulorum Summerh.,22,
Pittosporum coriaceum Dryander ex Aiton,Pittosporum coriaceum Dryander ex Aiton,22,
Plantago famarae Svent.,Plantago famarae Svent.,22,
Plantago malato-belizii Lawalrée,Plantago malato-belizii LawalrÃ©e,22,
Limonium arborescens (Brouss.) Kuntze,Limonium arborescens (Brouss.) Kuntze,22,
Limonium dendroides Svent.,Limonium dendroides Svent.,22,
Limonium fruticans (Webb) O. Kuntze,Limonium fruticans (Webb) O. Kuntze,22,
Limonium perezii (Stapf) Hubb.,Limonium perezii (Stapf) Hubb.,22,
Limonium preauxii (Webb et Berth.) O. Kuntze,Limonium preauxii (Webb et Berth.) O. Kuntze,22,
Limonium spectabile (Svent.) Kunkel & Sunding,Limonium spectabile (Svent.) Kunkel & Sunding,22,
Limonium sventenii Santos & Fernandez Galvan,Limonium sventenii Santos & Fernandez Galvan,22,
Rumex azoricus Rech.,Rumex azoricus Rech.,23,
Frangula azorica Tutin,Frangula azorica Tutin,23,
Bencomia brachystachya Svent.,Bencomia brachystachya Svent.,23,
Bencomia exstipulata Svent.,Bencomia exstipulata Svent.,23,
Bencomia sphaerocarpa Svent.,Bencomia sphaerocarpa Svent.,23,
Chamaemeles coriacea Lindl.,Chamaemeles coriacea Lindl.,23,
Dendriopoterium pulidoi Svent.,Dendriopoterium pulidoi Svent.,23,
Marcetella maderensis (Bornm.) Svent.,Marcetella maderensis (Bornm.) Svent.,23,
Prunus lusitanica subsp. azorica (Moui.) Franco,Prunus lusitanica subsp. azorica (Moui.) Franco,23,
