scientific_name,remarks
Petalophyllum ralfsii (Wils.) Nees & Gott.,
Plagiomnium drummondii (Bruch & Schimp.) T. Kop.,
Riccia breidleri Jur.,
Riella helicophylla (Bory & Mont.) Mont.,
Scapania massolongi (K. Müll.) K. Müll.,
Sphagnum pylaisii Brid.,
Tayloria rudolphiana (Garov) B. & S.,
Tortella rigens (N. Alberts),
Hymenophyllum maderensis Gibby & Lovis,
Polystichum drepanum (Sw.) C. Presl.,
Isoetes azorica Durieu & Paiva ex Milde,
Marsilea azorica Launert & Paiva,
Caralluma burchardii N. E. Brown,
Ceropegia chrysantha Svent.,
Echium candicans L. fil.,
Echium gentianoides Webb & Coincy,
Myosotis azorica H.C. Watson,
Myosotis maritima Hochst. in Seub.,
Azorina vidalii (H.C. Watson) Feer,
Musschia aurea (L. f.) DC.,
Musschia wollastonii Lowe,
Sambucus palmensis Link,
Spergularia azorica (Kindb.) Lebel,
Maytenus umbellata (R. Br.) Mabb.,
Beta patula Ait.,
Cistus chinamadensis Banares & Romero,
Helianthemum bystropogophyllum Svent.,
Andryala crithmifolia Ait.,
Argyranthemum lidii Humphries,
Argyranthemum thalassophylum (Svent.) Hump.,
Argyranthemum winterii (Svent.) Humphries,
Atractylis arbuscula Svent. & Michaelis,
Atractylis preauxiana Schultz.,
Calendula maderensis DC.,
Cheirolophus duranii (Burchard) Holub,
Cheirolophus ghomerytus (Svent.) Holub,
Cheirolophus junonianus (Svent.) Holub,
Cheirolophus massonianus (Lowe) Hansen & Sund.,
Cirsium latifolium Lowe,
Helichrysum gossypinum Webb,
Helichrysum monogynum Burtt & Sund.,
Hypochoeris oligocephala (Svent. & Bramw.) Lack,
Lactuca watsoniana Trel.,
Onopordum nogalesii Svent.,
Onorpordum carduelinum Bolle,
Pericallis hadrosoma (Svent.) B. Nord.,
Phagnalon benettii Lowe,
Stemmacantha cynaroides (Chr. Son. in Buch) Ditt,
Sventenia bupleuroides Font Quer,
Tanacetum ptarmiciflorum Webb & Berth,
Convolvulus caput-medusae Lowe,
Convolvulus lopez-socasii Svent.,
Convolvulus massonii A. Dietr.,
Aeonium gomeraense Praeger,
Aeonium saundersii Bolle,
Aichryson dumosum (Lowe) Praeg.,
Monanthes wildpretii Banares & Scholz,
Sedum brissemoretii Raymond-Hamet,
Crambe arborea Webb ex Christ,
Crambe laevigata DC. ex Christ,
Crambe sventenii R. Petters ex Bramwell & Sund.,
Parolinia schizogynoides Svent.,
Sinapidendron rupestre (Ait.) Lowe,
Carex malato-belizii Raymond,
Scabiosa nitens Roemer & J.A. Schultes,
Erica scoparia L. subsp. azorica (Hochst.) D.A. Webb,
Euphorbia handiensis Burchard,
Euphorbia lambii Svent.,
Euphorbia stygiana H.C. Watson,
Geranium maderense P.F. Yeo,
Deschampsia maderensis (Haeck. & Born.) Buschm.,
Phalaris maderensis (Menezes) Menezes,
Globularia ascanii D. Bramwell & Kunkel,
Globularia sarcophylla Svent.,
Sideritis cystosiphon Svent.,
Sideritis discolor (Webb ex de Noe) Bolle,
Sideritis infernalis Bolle,
Sideritis marmorea Bolle,
Teucrium abutiloides L’Hér.,
Teucrium betonicum L’Hér.,
Anagyris latifolia Brouss. ex. Willd.,
Anthyllis lemanniana Lowe,
Dorycnium spectabile Webb & Berthel,
Lotus azoricus P.W. Ball,
Lotus callis-viridis D. Bramwell & D. H. Davis,
Lotus kunkelii (E. Chueca) D. Bramwell & al.,
Teline rosmarinifolia Webb & Berthel.,
Teline salsoloides Arco & Acebes.,
Vicia dennesiana H.C. Watson,
Androcymbium psammophilum Svent.,
Scilla maderensis Menezes,
Semele maderensis Costa,
Arceuthobium azoricum Wiens & Hawksw.,
Myrica rivas-martinezii Santos.,
Jasminum azoricum L.,
Picconia azorica (Tutin) Knobl.,
Goodyera macrophylla Lowe,
Pittosporum coriaceum Dryand. ex. Ait.,
Plantago malato-belizii Lawalree,
Limonium arborescens (Brouss.) Kuntze,
Limonium dendroides Svent.,
Limonium spectabile (Svent.) Kunkel & Sunding,
Limonium sventenii Santos & Fernández Galván,
Rumex azoricus Rech. fil.,
Frangula azorica Tutin,
Bencomia brachystachya Svent.,
Bencomia sphaerocarpa Svent.,
Chamaemeles coriacea Lindl.,
Dendriopoterium pulidoi Svent.,
Marcetella maderensis (Born.) Svent.,
Prunus lusitanica L. subsp. azorica (Mouillef.) Franco,
Sorbus maderensis (Lowe) Dode,
Kunkeliella subsucculenta Kammer,
Euphrasia azorica H.C. Watson,
Euphrasia grandiflora Hochst. in Seub.,
Isoplexis chalcantha Svent. & O’Shanahan,
Isoplexis isabelliana (Webb & Berthel.) Masferrer,
Odontites holliana (Lowe) Benth.,
Sibthorpia peregrina L.,
Solanum lidii Sunding,
Ammi trifoliatum (H.C. Watson) Trelease,
Bupleurum handiense (Bolle) Kunkel,
Chaerophyllum azoricum Trelease,
Ferula latipinna Santos,
Melanoselinum decipiens (Schrader & Wendl.) Hoffm.,
Monizia edulis Lowe,
Oenanthe divaricata (R. Br.) Mabb.,
Sanicula azorica Guthnick ex Seub.,
Viola paradoxa Lowe,
Echinodium spinosum (Mitt.) Jur.,
