scientific_name,page_number,remarks
Anacamptis urvilleana Sommier et Caruana Gatto,66,
Calypso bulbosa L.,66,
Cephalanthera cucullata Boiss. & Heldr.,66,
Comperia comperiana (Steven) Aschers. & Graebner,66,
Cypripedium calceolus L.,66,
Dactylorhiza chuhensis Renz & Taub.,66,
Dactylorhiza kalopissi E.Nelson,66,
Gymnigritella runei Teppner & Klein,66,
Himantoglossum caprinum (Bieb.) C. Koch,66,
Liparis loeseli (L.) Rich.,66,
Ophrys argolica Fleischm.,66,
Ophrys isaura Renz & Taub.,66,
Ophrys kotschyi H.Fleischm. et Soo,66,
Ophrys lunulata Parl.,66,
Ophrys lycia Renz & Taub.,66,
Ophrys melitensis (Salkowski) J et P Devillers Terschuren,66,
Ophrys oestrifera Bieb.,66,
Orchis scopulorum Simsmerh.,66,
Ophrys taurica (Aggeenko) Nevski.,66,
Orchis provincialis Balb.,66,
Orchis punctulata Stev. ex Lindl.,66,
Platanthera obtusata (Pursh) subsp. oligantha (Turez.) Hulten,66,
Spiranthes aestivalis (Poiret) L. C. M. Richard,66,
Steveniella satyrioides (Stev.) Schlechter.,66,
Orobanche densiflora Salzm. ex Reut.,66,
Paeonia cambessedesii (Willk.) Willk.,66,
Paeonia clusi F.C. Stern subsp. rhodia (Stearn) Tzanoudakis,66,
Paeonia officinalis L. subsp. banatica (Rachel) Soo,66,
Paeonia parnassica Tzanoudakis,66,
Paeonia tenuifolia L.,66,
Phoenix theophrasti Greuter,66,
Corydalis gotlandica Lidén,66,
Papaver laestadianum (Nordh.) Nordh.,66,
Papaver lapponicum (Tolm.) Nordh.,66,
Papaver radicatum Rottb. subsp. hyperboreum Nordh.,66,
Rupicapnos africana (Lam.) Pomel,67,
Plantago algarbiensis Sampaio (Plantago bracteosa (Willk.) G. Sampaio),67,
Plantago almogravensis Franco,67,
Armeria berlengensis Daveau<,67,
Armeria helodes Martini & Pold,67,
Armeria negleta Girard,67,
Armeria pseudarmeria (Murray) Mansfeld,67,
Armeria rouyana Daveau,67,
Armeria soleirotii (Duby) Godron,67,
Armeria velutina Welv. ex Boiss. & Reuter,67,
Limonium anatolicum Hedge,67,
Limonium dodarti (Girard) O. Kuntze subsp. lusitanicum (Daveau) Franco,67,
Limonium insulare (Beg. & Landi) Arrig. & Diana,67,
Limonium lanceolatum (Hoffmanns. & Link) Franco,67,
Limonium multiflorum Erben,67,
Limonium pseudolaetum Arrig. & Diana,67,
Limonium strictissimum (Salzmann) Arrig,67,
Limonium tamaricoides Bokhari,67,
Limonium vulgare Mill.,67,
Polemonium boreale Adams,67,
Persicaria foliosa (H. Lindb.) Kitag.,67,
Polygonum praelongum Coode & Cullen,67,
Rheum rhaponticum L.,67,
Rumex rupestris Le Gall,67,
Posidonia oceanica (L.) Delile,67,
Androsace cylindrica DC.,67,
Androsace mathildae Levier,67,
Androsace pyrenaica Lam.,67,
Cyclamen coum Mill.,67,
Cyclamen fatrense Halda et Sojak,67,
Cyclamen kuznetzovii Kotov et Czernova.,67,
Cyclamen mirabile Hildebr.,67,
Lysimachia minoricensis J.D.Rodriguez,67,
Primula apennina Widmer,67,
Primula carniolica Jacq.,67,
Primula deorum Velen.,67,
Primula egaliksensis Wormsk.,67,
Primula frondosa Janka,67,
Primula glaucescens Moretti,67,
Primula nutans Georgi,67,
Primula palinuri Petagna,67,
Primula scandinavica Bruun,67,
Primula spectabilis Tratt.,67,
Primula vulgaris Huds,67,
Primula wulfeniana Scot subsp. baumgarteniana (Degen & Moesz) Ludi,67,
Soldanella villosa Darracq.,67,
Trientalis europaea L.,67,
Aconitum corsicum Gayer (Aconitum napellus subsp. corsicum),67,Removed (Aconitum napellus subsp. corsicum)
Aconitum firmum (Reichenb.) Neilr subsp. moravicum Skalicky,67,
Aconitum flerovii Steinb.,67,
Aconitum lasiocarpum (Reichenb.) Gayer,68,
Aconitum napellus L.,68,
Actaea spicata L.,68,
"Adonis cyllenea Boiss., Heldr. & Orph.",68,
Adonis distorta Ten.,68,
Anemone pulsatilla L.,68,
Anemone uralensis Fisch. ex DC.,68,
Aquilegia alpina L.,68,
Aquilegia bertoloni Schott,68,
Aquilegia kitaibeli Schott,68,
Aquilegia ottonis Orph. ex Boiss. subsp. taygetea (Orph.) Strid,68,
Aquilegia pyrenaica D.C. subsp. cazorlensis (Heywood) Galiano,68,
Consolida samia P.H. Davis,68,
Delphinium caseyi B.L.Burtt,68,
Pulsatilla grandis Wenderoth Pulsatilla patens (L.) Miller,68,
Pulsatilla patens (L.) Miller,68,
Pulsatilla slavica G.Reuss.,68,
Pulsatilla subslavica Futak ex Goliasova,68,
Pulsatilla vulgaris Hill. subsp. gotlandica (Johanss.) Zaemelis & Paegle,68,
Ranunculus fontanus C. Presl,68,
Ranunculus kykkoensis Meikle,68,
Ranunculus lapponicus L.,68,
Ranunculus platanifolius L.,68,
Ranunculus weyleri Mares,68,
Reseda decursiva Forssk.,68,
"Alle soorten van het geslacht Rosa waarvan het natuurlijk verspreidingsgebied geheel of gedeeltelijk het nationaal grondgebied omvat, met uitzondering van Rosa arvensis en Rosa canina L.",68,
Agrimonia pilosa Ledebour,68,
Crataegus dikmensis Pojark,68,
Geum bulgaricum Panc.,68,
Potentilla delphinensis Gren. & Godron,68,
Potentilla emilii popii Nyarady,68,
Potentilla silesiaca Uechtr.,68,
Pyrus anatolica Browicz,68,
Pyrus magyarica Terpo,68,
Potentilla rupestris L.,68,
Sorbus teodori Liljefors,68,
Galium cracoviense Ehrend.,68,
Galium globuliferum Hub,68,
Galium litorale Guss.,68,
Galitum moldavicum (Dobrescu) Franco,68,
Galium rhodopeum Velen.,68,
Galium viridiflorum Boiss. & Reuter,68,
Salix salvifolia Brot. subsp. australis Franco,68,
Thesium ebracteatum Hayne,68,
Sideroxylon marmulano Banks ex Lowe,68,
Parnassia palustris L.,68,
Saxifraga berica (Beguinot) D. A. Webb,68,
Saxifraga cintrana Kuzinsky ex Willk.,69,
Saxifraga florulenta Moretti,69,
Saxifraga hirculus L.,69,
Saxifraga osloénsis Knaben,69,
Saxifraga portosanctana Boiss.,69,
Saxifraga presolanensis Engl.,69,
Saxifraga tombeanensis Boiss ex Engl,69,
Saxifraga valdensis DC.,69,
Saxifraga vayredana Luizet,69,
Antirrhinum charidemi Lange,69,
Antirrhinum lopesianum Rothm.,69,
Chaenorrhinum serpyllifoltum (Lange) Langeb subsp. lusitanicum R. Fernande,69,
Euphrasia genargentea (Feoli) Diana,69,
Euphrasia marchesettii Wettst. ex Marches.,69,
Linaria algarviana Chav.,69,
Linaria coutinhoi Valdés,69,
Linaria ficalhoana Rouy,69,
Linaria flava (Poiret) Desf.,69,
Linaria hellenica Turrill,69,
Linaria loeselii Schweigger,69,
Linaria pseudolaxiflora Lojacono,69,
Linaria ricardoi Cout.,69,
Linaria tursica B. Valdef & Cabezudo,69,
Linaria tonzigii Lona,69,
Lindernia procumbens (Krocker) Philcox,69,
Odontites granatensis Boiss.,69,
Pedicularis sudetica Willd.,69,
Rhinanthus oesilensis (Ronniger & Saarsoo) Vassilcez,69,
Tozzia carpathica Wol.,69,
Verbascum afyonense Hub. Mor.,69,
Verbascum basivelatum Hub. Mor.,69,
Verbascum cylleneum (Boiss. & Heldr.) Kuntze,69,
Verbascum degenii Hal.,69,
Verbascum litigiosum Samp.,69,
Verbascum purpureum (Janka) Hub. Mor.,69,
Verbascum stepporum Hub. Mor.,69,
Veronica euxina Turrill,69,
Veronica micrantha Hoffmanns. & Link,69,
Veronica oetaea L. A. Gustavson,69,
Veronica turrilliana Stoj. et Stef.,69,
Globularia stygia Orph. ex Boiss.,69,
Sparganium angustifolium Michaux,69,
Atropa baetica Willk.,69,
Mandragora officinarum L.,69,
Daphne arbuscula Celak,69,
Daphne mezereum L.,69,
Daphne petraea Leybold,69,
Daphne rodriguezii Texidor,69,
Thymelaea broterana P. Cout.,69,
Trapa natans L.,69,
Typha minima Funk,69,
Typha shuttleworthii Koch & Sonder,70,
Zelkova abelicea (Lam.) Boiss.,70,
Angelica heterocarpa Lloyd,70,
Angelica palustris (Besser) Hoffm.,70,
Apium bermejoi Llorens,70,
Apium repens (Jacq.) Lag.,70,
Athamanta cortiana Ferrarini,70,
Bunium brevifoltum Lowe,70,
Bupleurum capillare Bolss. & Heldr.,70,
Bupleurum dianthifolium Guss.,70,
Bupleurum kakiskalae Greuter,70,
Eryngium alpinum L.,70,
Eryngium viviparum Gay,70,
Ferula halophila H.Pesmen,70,
Ferula orientalis L.,70,
Ferula sadleriana Lebed.,70,
Hladnikia pastinacifolia Reichenb.,70,
Laserpitrum longiradium Boiss.,70,
Naufraga balearica Constans & Cannon,70,
Oenanthe conioides Lange,70,
Petagnia saniculifolia Guss.,70,
Rouya polygama (Desf.) Coincy,70,
Seseli intricatum Boiss.,70,
Thorella verticillatinundata (Thore) Brig.,70,
"Centranthus kellereri (Stoj., Stef. et Georg.) J.K.B. Richardson.",70,
Centranthus trinervis (Viv.) Beguinot,70,
Viola athois W. Becker,70,
Viola cazorlensis Gandoger,70,
Viola cryana Gillot,70,
Viola delphinantha Boiss.,70,
Viola hispida Lam.,70,
Viola jaubertiana Mares & Vigineix,70,
Viola rupestris F.W. Schmidt subsp. relicta Jalas,70,
Cymodocea nodosa (Ucria) Ascherson,70,
Zostera marina L.,70,
"Asplenium azoricum Lovis, Rasbach & Reichstein",70,
Polystichum drepanum (Sw.) C. Presl.,70,
Hymenophyllum maderensis Gibby & Lovis,70,
Isoetes azorica Durieu & Paiva,71,
Diphasium maderense (Wilce.) Rothm.,71,
Marsilea azorica Launert & Paiva,71,
Juniperus brevifolia (Seub.) Antoine,71,
Dracaena draco (L.) L.,71,
Caralluma burchardi N. E. Brown,71,
Ceropegia chrysantha Svent,71,
Berberis maderensis Lowe,71,
Echium candicans L. fil.,71,
Echium gentianoides Webb & Coincy,71,
Echium handiense Svent.,71,
Echrum pininana Webb et Berth.,71,
Myosotis azorica H. C. Watson,71,
Myosotis maritima Hochst. in Seub.,71,
Azorina vidali (H.C. Watson) Feer,71,
Musschia aurea (L. f.) DC.,71,
Musschia wollaslonii Lowe,71,
Sambucus palmensis Link,71,
Cerasttum azoricum Hochst.,71,
Silene nocteolens Webb et Berth,71,
Spergularia azorica (Kindb.) Lebel,71,
Maytenus umbellata (R. Br.) Mabb.,71,
Beta patula Ait.,71,
Cistus chinamadensis Banares & Romero,71,
Helianthemum bystropogophyllum Svent.,72,
Helianthemum teneriffae Cosson,72,
tAndryala crithmifolia Ait.,72,
Argyranthemum lidii Humphries,72,
Argyranthemum pinnatifidum (L.F.) Lowe subsp. succulentum (Lowe) Humphries,72,
Argyranthemum thalassophylum (Svent.) Hump.,72,
Argyranthemum winteri (Svent.) Humphries,72,
Atractylis arbuscula Svent. & Michaelis,72,
Atractylis preauxiana Schultz.,72,
Bellis azorica Hochst. ex Seub.,72,
Calendula maderensis DC.,72,
Cheirolophus durani (Burchard) Holub,72,
Cheirolophus falsisectus Montelongo et Moraleda,72,
Cheirolophus ghomerytus (Svent.) Holub,72,
Cheirolophus junonianus (Svent.) Holub,72,
Cheirolophus massonianus (Lowe) Hansen,72,
Cheirolophus metlesicsii Montelongo,72,
Cheirolophus santosabreui Santos,72,
Cheirolophus satarataensis (Svent.) Holub,72,
Cheirolophus tagananensis (Svent.) Holub,72,
Cirsium latifoltum Lowe,72,
Helichrysum gossypinum Webb,72,
Helichrysum monogynum B.L. Burth. & Sunding,72,
Helichrysum oligocephala (Svent. & Bzamw.),72,
Hypochoeris oligocephala (Svent. & D.Bramwell) Lack,72,
Lactuca watsoniana Trel.,72,
Leontodon fili (Hochst. ex Seub.) Paiva & Orm.,72,
Onopordum nogalesi Svent.,72,
Onopordum carduelinum Bolle,72,
Pericallis hadrosoma Svent.,72,
Pericallis malvifolia (L’Hér) B. Nord.,72,
Phagnalon benetti Lowe,72,
Senecio hermosae Pitard,72,
Sonchus gandogeri Pitard,72,
Stemmacantha cynaroides (Chr. Son. in Buch) Ditt,72,
Ventenia bupleuroides Font Quer,72,
Tanacetum o’shanahanii Febles. Marrero et Suarez,72,
Tanacetum ptarmiciflorum Webb & Berth,72,
Tolpis glabrescens Kammer,72,
Convolvulus caput medusae Lowe,72,
Convolvulus lope,72,
Convolvulus massoni A. Dietr.,72,
Pharbitis preauxii Webb,72,
Aeonium balsamiferum Webb et Berth.,72,
tAeonium gomeraense Praeger,72,
Aeonium saundersii Bolle,72,
tAichryson dumosum (Lowe) Praeg.,72,
Monanthes wildpretii Banares & Scholz,72,
Sedum brissemoretii Raymon,72,
Crambe arborea Webb ex Christ,72,
Crambe laevigata DC. ex Christ,72,
Crambe scoparia Svent.,72,
Crambe sventeni R.Petters ex Bramwell & Sund.,72,
Parolinia schizogunoides Svent.,72,
Simapidendron rupestre (Ait.) Lowe,72,
Sinapidendron sempervivifolium Mnzs.,72,
Carex malato belizi Raymond,73,
Scabiosa nitens Roemer & J. A.Schultes,73,
Daboecia azorica Tutin & Warb.,73,
Erica scoparia L. subsp. azorica (Hochst.) D.A. Webb,73,
Euphorbia bourgaeana Gay ex Boiss.,73,
Euphorbia handiensis Burchard,73,
Euphorbia lambii Svent.,73,
Euphorbia stygiana H.C. Watson,73,
Geranium maderense P.F. Yeo,73,
Agrostis gracililaxa Franco,73,
Deschampsia maderensis (Haeck. & Born.),73,
Phalaris maderensis (Menezes) Menezes,73,
Globularia ascani D. Bramwell & Kunkel,73,
Globularia sarcophylla Svent.,73,
Micromeria glomerata P. Pérez,73,
Micromeria leucantha Svent. ex Pérez,73,
Salvia herbanica Santos et Fernandez,73,
Sideritis cystosiphon Sven.,73,
Sideritis discolor (Webb ex de Noe) Bolle,73,
Sideritis infernalis Bolle,73,
Sideritis marmorea Bolle,73,
Teucrium abutiloides L’Hér,73,
Teucrium betonicum L’ Héer,73,
Adenocarpus ombriosus Ceb. & Ort.,73,
Anagyris latifolia Brouss. ex Willd.,73,
Anthyllis lemanniana Lowe,73,
Cicer canariensis Santos & Gweil,73,
Doryenium spectabile Webb & Berthel,73,
Genista benehoavensis (Bolle ex Svent.) Del Arco,73,
Lotus azoricus P.W.Ball,73,
Lotus callis viridis D.Bramwell & D.H.Davis,73,
Lotus eremiticus Santos,73,
Lotus kunkeli (E. Chueca) D. Bramwell & al.,73,
Lotus maculatus Breitfeld,73,
Lotus pyranthus P. Perez,73,
Teline nervosa (Esteve) A. Hansen et Sund.,73,
Teline rosmarinifolia Webb & Berthel.,73,
Teline salsoloides Arco & Acebes.,73,
Vicia dennesiana H.C. Watson,73,
Androcymbium psammophilum Svent.,73,
Scilla maderensis Menezes,73,
Semele maderensis Costa,74,
Smilax divaricata Sol. ex Wats.,74,
Arceuthobium azoricum Wiens & Hawksw,74,
Myrica rivas martinezii Santos.,74,
Jasminum azoricum L.,74,
Picconia azorica (Tutin) Knobl.,74,
Barlia metlesicsiaca Teschner,74,
Goodyera macrophylla Lowe,74,
Orchis scopulorum Summerh.,74,
Pittosporum coriaceum Dryand. ex Ait.,74,
Plantago famarae Svent.,74,
Plantago malato belizii Lawalree,74,
Limonium arborescens (Brouss.) Kuntze,74,
Limonium dendroides Svent.,74,
Limonium fruticans (Webb) O. Kuntze,74,
Limonium perezii (Stapf) Hubb.,74,
Limonium preauxii (Webb et Berth.) O. Kuntze,74,
Limonium spectabile (Svent.) Kunkel & Sunding,74,
Limonium spectabile (Svent.) Kunkel & Sunding,74,
Limonium sventeni Santos & Fernandez Galvan,74,
Rumex azoricus Rech. fil.,74,
Frangula azorica Tutin,74,
Bencomia brachystachya Svent,74,
Bencomia exstipulata Svent.,74,
Bencomia sphaerocarpa Svent.,74,
Chamaemeles coriacea Lindl.,74,
Dendriopterium pulidoi Svent.,74,
Marcetella maderensis (Born.) Svent.,74,
Prunus lusitanica L. subsp. azorica (Mouillef.) Franco,74,
Sorbus maderensis (Lowe) Docle,74,
Ruta microcarpa Svent.,74,
Kunkeliella canariensis Stearn,74,
Kunkeliella psilotoclada (Svent.) Stearn,74,
Kunkeliella subsucculenta Kammer,74,
Sideroxylon marmulano Banks ex Lowe,74,
Euphrasia azorica Wats,75,
Euphrasia grandiflora Hochst. ex Seub.,75,
Jsoplexis chalcantha Svent. & O’Shanahan,75,
Jsoplexis isabelliana (Webb & Berthel.) Masferrer,75,
Odontites holliana (Lowe) Benth.,75,
Sibthorpia peregrina L.,75,
Globularia ascani D.Bramwell & Kunkel,75,
Globularia sarcophylla Svent.,75,
Solanum lidii Sunding,75,
Ammi trifoliatum (H.C. Watson) Trelease,75,
Bunium brevifolium Lowe,75,
Bupleurum handiense (Bolle) Kunkel,75,
Chaerophyllum azoricum Trelease,75,
Ferula latipinna Santos,75,
Melanoselinum decipiens (Schrader & Wendl.) Hoftm.,75,
Monizia edulis Lowe,75,
Oenanthe divaricata (R.Br.) Mabb.,75,
Sanicula azorica Guthnick ex Seub.,75,
Viola paradoxa Lowe,75,
Viola paradoxa Lowe,75,
