acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Viola lutea calaminaria	(Ginguis) Neuenberg	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	888	1779	NA	NA	zinkviooltje	21080	1a	subspecies	NA	accepted	24277	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	5664506	Viola lutea subsp. calaminaria (Gingins) Nauenb.	Viola lutea calaminaria	SUBSPECIES	Plantae	Tracheophyta	Malpighiales	Violaceae	Viola	6	7707728	220	1414	6631	2874237	FALSE	Magnoliopsida	NA	Viola lutea	8388117
Andrena gelriae	Van der Vecht, 1927	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	890	2911	NA	NA	gelderse zandbij	34305	1a	species	NA	accepted	47277	2015-04-29	NA	NA	45974	Animalia	NA	species	1358024	Andrena gelriae Vecht, 1927	Andrena gelriae	SPECIES	Animalia	Arthropoda	Hymenoptera	Andrenidae	Andrena	1	54	216	1457	7901	1345710	FALSE	Insecta	NA	Andrena gelriae	1358024
Lycaena dispar batava	Oberthür, 1920	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	891	1781	NA	NA	grote vuurvlinder	26507	1a	subspecies	NA	accepted	29510	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	6097277	Lycaena dispar batavus (Oberthür, 1923)	Lycaena dispar batavus	SUBSPECIES	Animalia	Arthropoda	Lepidoptera	Lycaenidae	Lycaena	1	54	216	797	5473	1929153	FALSE	Insecta	NA	Lycaena dispar	1929270
Craspedosoma rawlinsi alsaticum	Verhoeff, 1910	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	894	1784	NA	NA	NA	5704	1a	subspecies	NA	accepted	6772	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	6186990	Craspedosoma rawlinsii alsaticum (Verhoeff, 1910)	Craspedosoma rawlinsii alsaticum	SUBSPECIES	Animalia	Arthropoda	Chordeumatida	Craspedosomatidae	Craspedosoma	1	54	361	1017	3013	1020446	FALSE	Diplopoda	NA	Craspedosoma rawlinsii	6186977
Craspedosoma rawlinsi rawlinsi	Leach, 1814	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	895	1785	NA	NA	NA	5704	1a	subspecies	NA	accepted	6772	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	6187006	Craspedosoma rawlinsii rawlinsii	Craspedosoma rawlinsii rawlinsii	SUBSPECIES	Animalia	Arthropoda	Chordeumatida	Craspedosomatidae	Craspedosoma	1	54	361	1017	3013	1020446	FALSE	Diplopoda	NA	Craspedosoma rawlinsii	6186977
Jaera albifrons albifrons	Leach, 1815	NA	NONE	100	NA	905	1795	NA	NA	witkoppissebed	5856	1a	subspecies	NA	accepted	6945	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Ceratophyllus rossitensis rossitensis	Dampf, 1913	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	917	1807	NA	NA	NA	6388	1a	subspecies	NA	accepted	7484	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	4480857	Ceratophyllus rossittensis rossittensis	Ceratophyllus rossittensis rossittensis	SUBSPECIES	Animalia	Arthropoda	Siphonaptera	Ceratophyllidae	Ceratophyllus	1	54	216	1366	8846	1417115	FALSE	Insecta	NA	Ceratophyllus rossittensis	1417140
Villa circumdata circumdata	(Meigen, 1820)	NA	NONE	100	NA	938	1833	NA	NA	NA	11393	0a	subspecies	NA	accepted	12831	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Villa circumdata longicornis	Lyneborg, 1965	NA	NONE	100	NA	939	1834	NA	NA	NA	11393	0a	subspecies	NA	accepted	12831	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Paraphaenocladius irritus irritus	(Walker, 1856)	NA	NONE	100	NA	941	1836	NA	NA	NA	12196	0a	subspecies	NA	accepted	13816	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Paraphaenocladius pseudirritus pseudirritus	Strenzke, 1950	NA	NONE	100	NA	942	1837	NA	NA	NA	12198	0a	subspecies	NA	accepted	13818	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Philygria picta picta	(Fallén, 1813)	NA	NONE	100	NA	947	1842	NA	NA	NA	13176	0a	subspecies	NA	accepted	14987	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Icosta ardea ardea	(Macquart, 1835)	NA	NONE	100	NA	948	1843	NA	NA	NA	13301	0a	subspecies	NA	accepted	15141	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Melophagus ovinus ovinus	(Linnaeus, 1758)	NA	NONE	100	NA	950	1844	NA	NA	NA	13303	0a	subspecies	NA	accepted	15143	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Ornithomya avicularia avicularia	(Linnaeus, 1758)	NA	NONE	100	NA	951	1845	NA	NA	NA	13305	0a	subspecies	NA	accepted	15145	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Ornithomya chloropus chloropus	Bergroth, 1902	NA	NONE	100	NA	952	1846	NA	NA	NA	13307	0a	subspecies	NA	accepted	15147	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Bicellaria spuria spuria	(Fallén, 1816)	NA	NONE	100	NA	953	1848	NA	NA	NA	13316	0a	subspecies	NA	accepted	15157	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Chionea lutescens lutescens	Lundström, 1907	NA	NONE	100	NA	954	1849	NA	NA	NA	13533	3a	subspecies	NA	accepted	15408	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Epiphragma ocellare ocellare	(Linnaeus, 1761)	NA	NONE	100	NA	957	1852	NA	NA	NA	13562	0a	subspecies	NA	accepted	15445	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Metalimnobia bifasciata bifasciata	(Schrank, 1781)	NA	NONE	100	NA	963	1858	NA	NA	NA	13613	0a	subspecies	NA	accepted	15509	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Metalimnobia quadrinotata quadrinotata	(Meigen, 1818)	NA	NONE	100	NA	964	1859	NA	NA	NA	13615	0a	subspecies	NA	accepted	15511	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Phylidorea squalens squalens	(Zetterstedt, 1838)	NA	NONE	100	NA	967	1863	NA	NA	NA	13652	0a	subspecies	NA	accepted	15561	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pilaria discicollis discicollis	(Meigen, 1818)	NA	NONE	100	NA	968	1864	NA	NA	NA	13654	0a	subspecies	NA	accepted	15563	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Penicillidia dufourii dufourii	(Westwood, 1835)	NA	NONE	100	NA	973	1868	NA	NA	NA	14182	0a	subspecies	NA	accepted	16249	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pipunculus campestris campestris	Latreille, 1802	NA	NONE	100	NA	975	1870	NA	NA	NA	14570	0a	subspecies	NA	accepted	16748	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio immaculatus immaculatus	(Meigen, 1804)	NA	NONE	100	NA	976	1871	NA	NA	NA	14702	0a	subspecies	NA	accepted	16891	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio maculatus maculatus	(De Geer, 1776)	NA	NONE	100	NA	978	1873	NA	NA	NA	14704	0a	subspecies	NA	accepted	16893	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio notatus notatus	(Meigen, 1820)	NA	NONE	100	NA	979	1874	NA	NA	NA	14705	0a	subspecies	NA	accepted	16894	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio scolopaceus scolopaceus	(Linnaeus, 1758)	NA	NONE	100	NA	980	1875	NA	NA	NA	14706	0a	subspecies	NA	accepted	16895	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio tringarius tringarius	(Linnaeus, 1758)	NA	NONE	100	NA	981	1876	NA	NA	NA	14708	0a	subspecies	NA	accepted	16897	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Tephritis separata separata	Rondani, 1871	NA	NONE	100	NA	982	1878	NA	NA	NA	15938	0a	subspecies	NA	accepted	18440	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Altica quercetorum quercetorum	Foudr., 1860	NA	NONE	100	NA	1020	1927	NA	NA	NA	16916	1a	subspecies	NA	accepted	19531	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Brachygluta haematica haematica	(Reichb., 1816)	NA	NONE	100	NA	1027	1934	NA	NA	NA	18719	0a	subspecies	NA	accepted	21444	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aeshna isoceles isoceles	(O.F. Müller, 1767)	NA	NONE	100	NA	1038	1946	NA	NA	vroege glazenmaker	1830	1a	subspecies	NA	accepted	2870	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Anax imperator imperator	Leach, 1815	NA	NONE	100	NA	1040	1950	NA	NA	grote keizerlibel	1833	1a	subspecies	NA	accepted	2873	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Cercion lindenii lindenii	(Selys, 1840)	NA	NONE	100	NA	1044	1954	NA	NA	kanaaljuffer	20215	1a	subspecies	NA	accepted	22945	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pyrrhosoma nymphula nymphula	(Sulzer, 1776)	NA	NONE	100	NA	1051	1960	NA	NA	vuurjuffer	1860	1a	subspecies	NA	accepted	2899	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Sympetrum sanguineum sanguineum	(O.F. Müller, 1764)	NA	NONE	100	NA	1060	1969	NA	NA	bloedrode heidelibel	1866	1a	subspecies	NA	accepted	2905	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Sagina apetala erecta	(Hornem.) F.Herm.	NA	NONE	99	NA	1081	1989	NA	NA	uitstaande vetmuur	20873	1a	subspecies	NA	accepted	23628	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Salsola kali kali	L.	NA	NONE	99	NA	1085	1992	NA	NA	stekend loogkruid	20920	1a	subspecies	NA	accepted	23673	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Carex oederi oederi	Retz.	NA	NONE	99	NA	1087	1994	NA	NA	dwergzegge	20957	1a	subspecies	NA	accepted	23709	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Asparagus officinalis officinalis	L.	NA	NONE	100	NA	1099	2006	NA	NA	asperge	21158	1a	subspecies	NA	accepted	23907	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Salix cinerea cinerea	L.	NA	NONE	100	NA	1117	2024	NA	NA	grauwe wilg	21468	1a	subspecies	NA	accepted	24208	2015-04-29	NA	NA	45975	Plantae	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Hydrachna leegei leegei	Koenike, 1895	NA	NONE	100	NA	1187	2096	NA	NA	NA	23882	1a	subspecies	NA	accepted	26646	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Atractides tener tener	(Thor, 1899)	NA	NONE	100	NA	1193	2102	NA	NA	NA	23917	1a	subspecies	NA	accepted	26681	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Piona pusilla pusilla	(Neuman, 1875)	NA	NONE	100	NA	1198	2107	NA	NA	NA	23983	1a	subspecies	NA	accepted	26746	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Parodontodynerus ephippius ephippius	(Klug, 1817)	NA	NONE	100	NA	1200	2109	NA	NA	NA	24423	3a	subspecies	NA	accepted	27185	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Cornu aspersum aspersum	(O.F. Müller, 1774)	NA	NONE	100	NA	1210	2120	NA	NA	NA	25160	1a	subspecies	NA	accepted	28066	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Oxychilus draparnaudi draparnaudi	(H. Beck, 1837)	NA	NONE	100	NA	1220	2130	NA	NA	NA	25202	1a	subspecies	NA	accepted	28108	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aneurus avenius avenius	(Dufour, 1833)	NA	NONE	100	NA	1242	2152	NA	NA	NA	25949	0a	subspecies	NA	accepted	28919	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aneurus laevis laevis	(Fabricius, 1775)	NA	NONE	100	NA	1243	2153	NA	NA	NA	25950	0a	subspecies	NA	accepted	28920	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Callicorixa praeusta praeusta	(Fieber, 1848)	NA	NONE	100	NA	1250	2160	NA	NA	NA	25981	0a	subspecies	NA	accepted	28953	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Paracorixa concinna concinna	(Fieber, 1848)	NA	NONE	100	NA	1252	2162	NA	NA	NA	25999	0a	subspecies	NA	accepted	28970	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Brachycoleus pilicornis pilicornis	(Panzer, 1805)	NA	NONE	100	NA	1270	2179	NA	NA	NA	26159	0a	subspecies	NA	accepted	29134	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Capsodes gothicus gothicus	(Linnaeus, 1758)	NA	NONE	100	NA	1272	2181	NA	NA	NA	26168	0a	subspecies	NA	accepted	29143	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Capsodes sulcatus sulcatus	(Fieber, 1861)	NA	NONE	100	NA	1273	2182	NA	NA	NA	26169	0a	subspecies	NA	accepted	29144	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Lygus gemellatus gemellatus	(Herrich-Schaeffer, 1835)	NA	NONE	100	NA	1277	2187	NA	NA	NA	26235	0a	subspecies	NA	accepted	29214	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Mecomma ambulans ambulans	(Fallén, 1807)	NA	NONE	100	NA	1278	2188	NA	NA	NA	26244	0a	subspecies	NA	accepted	29223	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Psallus betuleti betuleti	(Fallén, 1826)	NA	NONE	100	NA	1283	2194	NA	NA	NA	26320	0a	subspecies	NA	accepted	29306	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhabdomiris striatellus striatellus	(Fabricius, 1794)	NA	NONE	100	NA	1285	2196	NA	NA	NA	26337	0a	subspecies	NA	accepted	29324	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Nabis brevis brevis	Scholtz, 1847	NA	NONE	100	NA	1286	2198	NA	NA	NA	26358	0a	subspecies	NA	accepted	29349	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Notonecta glauca glauca	Linnaeus, 1758	NA	NONE	100	NA	1291	2203	NA	NA	NA	26371	0a	subspecies	NA	accepted	29362	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Uredo cynapi cicutae	DC.	NA	NONE	100	NA	1310	2361	NA	NA	NA	NA	1a	subspecies	NA	anamorph	46140	2015-04-29	NA	NA	NA	NA	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Leptosphaeria arundinacea godini	(Desm.) Sacc.	NA	NONE	99	NA	1311	2282	NA	NA	NA	29987	1a	subspecies	NA	accepted	37417	2015-04-29	NA	NA	3902	Fungi	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
doliolum	NA	NA	NONE	100	NA	1312	2283	NA	NA	NA	30001	NA	subspecies	NA	to determine	37433	2015-04-29	NA	NA	3902	Fungi	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
hoehnelii	NA	NA	NONE	99	NA	1316	2317	NA	NA	NA	31239	NA	subspecies	NA	to determine	40384	2015-04-29	NA	NA	3902	Fungi	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Septoria hyperici humifusi	NA	NA	NONE	100	NA	1319	2341	NA	NA	NA	32754	1a	subspecies	NA	accepted	43941	2015-04-29	NA	NA	3902	Fungi	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Valsa sorbicola decorticans	NA	NA	NONE	100	NA	1321	2365	NA	NA	NA	33632	1a	subspecies	NA	accepted	46363	2015-04-29	NA	NA	3902	Fungi	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rana esculenta	Linnaeus, 1758	NA	NONE	99	NA	1329	2375	NA	grenouille verte	middelste groene kikker	37158	1a	species	NA	accepted	50132	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Lepas hilli	Leach, 1818	NA	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	1367	60474	NA	NA	NA	48916	NA	species	NA	accepted	62828	2015-04-29	NA	NA	NA	NA	NA	species	5166342	Lepas hillii (Leach, 1818)	Lepas hillii	SPECIES	Animalia	Arthropoda	Pedunculata	Lepadidae	Lepas	1	54	203	697	9693	2113849	FALSE	Maxillopoda	NA	Lepas hillii	5166342
Echiodon drummondi	Thompson, 1837	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	1389	2433	NA	NA	parelvis	39339	3c	species	NA	accepted	52332	2015-04-29	NA	NA	45974	Animalia	NA	species	2346502	Echiodon drummondii Thompson, 1837	Echiodon drummondii	SPECIES	Animalia	Chordata	Ophidiiformes	Carapidae	Echiodon	1	44	204	1308	8475	2346497	FALSE	Actinopterygii	NA	Echiodon drummondii	2346502
Podon leuckartii	(G. O. Sars, 1862)	NA	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	1395	60490	NA	NA	NA	48906	NA	species	NA	accepted	62839	2015-04-29	NA	NA	NA	NA	NA	species	7796495	Podon leuckarti (Sars, 1862)	Podon leuckarti	SPECIES	Animalia	Arthropoda	Diplostraca	Podonidae	Podon	1	54	281	545	7642	2234652	FALSE	Branchiopoda	NA	Podon leuckarti	7796495
Atropa bella-donna	L.	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	1445	2487	NA	NA	wolfskers	39288	1a	species	NA	accepted	52281	2015-04-29	NA	NA	45975	Plantae	NA	species	3802655	Atropa belladonna L.	Atropa belladonna	SPECIES	Plantae	Tracheophyta	Solanales	Solanaceae	Atropa	6	7707728	220	1176	7717	2928892	FALSE	Magnoliopsida	NA	Atropa belladonna	3802655
Dipsacus fullonum	L.	NA	NONE	99	NA	1536	2577	NA	cabaret des oiseaux	grote kaardebol	38969	1a	species	NA	accepted	51961	2015-04-29	NA	NA	45975	Plantae	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Limnephilus ignavus	MacGowan & Rotherary, 2000	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	1767	2804	NA	NA	NA	38389	1a	species	NA	accepted	51380	2015-04-29	NA	NA	45974	Animalia	NA	species	1442653	Limnephilus ignavus McLachlan, 1865	Limnephilus ignavus	SPECIES	Animalia	Arthropoda	Trichoptera	Limnephilidae	Limnephilus	1	54	216	1003	4396	1442450	FALSE	Insecta	NA	Limnephilus ignavus	1442653
Lecania cuprea	(A. Massal.) van den Boom & Coppins	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	2248	3288	NA	NA	muurglimschoteltje	43964	1a	species	NA	accepted	57143	2015-04-29	NA	NA	3902	Fungi	NA	species	5261263	Lecania cuprea (A.Massal.) v.d.Bo	Lecania cuprea	SPECIES	Fungi	Ascomycota	Lecanorales	Ramalinaceae	Lecania	5	95	180	1048	4812	2607864	FALSE	Lecanoromycetes	NA	Lecania cuprea	5261263
Pholiota fusus	(Batsch) Singer	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	2258	3298	NA	NA	spoelvoetbundelzwam	43288	1a	species	NA	accepted	56419	2015-04-29	NA	NA	3902	Fungi	NA	species	3562911	Pholiota fusa (Batsch) Singer	Pholiota fusa	SPECIES	Fungi	Basidiomycota	Agaricales	Strophariaceae	Flammula	5	34	186	1499	4186	2524209	TRUE	Agaricomycetes	3343055	Flammula fusa	3343055
