acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Bidessus unistriatus	(Schrank, 1781)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	17929	20610	NA	NA	NA	37715	0a	species	NA	accepted	50698	2015-04-29	NA	NA	45974	Animalia	NA	species	1038153	Bidessus unistriatus (Goeze, 1777)	Bidessus unistriatus	SPECIES	Animalia	Arthropoda	Coleoptera	Dytiscidae	Bidessus	1	54	216	1470	7824	1038152	FALSE	Insecta	NA	Bidessus unistriatus	1038153
Hygrotus parallelogrammus	(Ahrens, 1812)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	17982	20672	NA	NA	NA	37727	0a	species	NA	accepted	50710	2015-04-29	NA	NA	45974	Animalia	NA	species	4469984	Hygrotus parallellogrammus (Ahrens, 1812)	Hygrotus parallellogrammus	SPECIES	Animalia	Arthropoda	Coleoptera	Dytiscidae	Hygrotus	1	54	216	1470	7824	1038557	FALSE	Insecta	NA	Hygrotus parallellogrammus	4469984
Agrypnus murina	(Linnaeus, 1758)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18027	20720	NA	NA	NA	37745	0a	species	NA	accepted	50728	2015-04-29	NA	NA	45974	Animalia	NA	species	4428942	Agrypnus murinus (Linnaeus, 1758)	Agrypnus murinus	SPECIES	Animalia	Arthropoda	Coleoptera	Elateridae	Agrypnus	1	54	216	1470	7825	4404338	FALSE	Insecta	NA	Agrypnus murinus	4428942
Ampedus pomorum	(Hbst., 1787)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	18035	20728	NA	NA	NA	37746	0a	species	NA	accepted	50729	2015-04-29	NA	NA	45974	Animalia	NA	species	4429476	Ampedus pomorum (Herbst, 1784)	Ampedus pomorum	SPECIES	Animalia	Arthropoda	Coleoptera	Ampedidae	Ampedus	1	54	216	1470	9742123	4408181	FALSE	Insecta	NA	Ampedus pomorum	4429476
Eucinetus meridionalis	(Cast., 1836)	NA	EXACT_WITHOUT_AUTHOR	100	SYNONYM	18118	20815	NA	NA	NA	37792	0a	species	NA	accepted	50776	2015-04-29	NA	NA	45974	Animalia	NA	species	6097805	Eucinetus meridionalis (Laporte, 1838)	Eucinetus meridionalis	SPECIES	Animalia	Arthropoda	Coleoptera	Eucinetidae	Nycteus	1	54	216	1470	6982	1161984	TRUE	Insecta	4428322	Nycteus meridionalis	4428322
Cercyon litoralis	(Gyll., 1808)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18291	20995	NA	NA	stranddwergmesttor	37838	0a	species	NA	accepted	50823	2015-04-29	NA	NA	45974	Animalia	NA	species	1034431	Cercyon littoralis (Gyllenhal, 1808)	Cercyon littoralis	SPECIES	Animalia	Arthropoda	Coleoptera	Hydrophilidae	Cercyon	1	54	216	1470	7830	1034418	FALSE	Insecta	NA	Cercyon littoralis	1034431
Limnoxenus niger	(Zschach, 1788)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	18359	21063	NA	NA	NA	37850	0a	species	NA	accepted	50835	2015-04-29	NA	NA	45974	Animalia	NA	species	4434097	Limnoxenus niger (Gmelin, 1790)	Limnoxenus niger	SPECIES	Animalia	Arthropoda	Coleoptera	Hydrophilidae	Limnoxenus	1	54	216	1470	7830	1034155	FALSE	Insecta	NA	Limnoxenus niger	4434097
Brachypterus glaber	(Stephens, 1832)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	18372	21076	NA	NA	glad brandnetelkevertje, glad brandneteltorretje	37856	0a	species	NA	accepted	50841	2015-04-29	NA	NA	45974	Animalia	NA	species	5878059	Brachypterus glaber (Newman, 1834)	Brachypterus glaber	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Brachypterus	1	54	216	1470	4239	1044315	FALSE	Insecta	NA	Brachypterus glaber	5878059
Meligethes solidus	(Illiger, 1798)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	18649	21373	NA	NA	NA	37942	0a	species	NA	accepted	50927	2015-04-29	NA	NA	45974	Animalia	NA	species	5877734	Meligethes solidus (Kugelann, 1794)	Meligethes solidus	SPECIES	Animalia	Arthropoda	Coleoptera	Nitidulidae	Meligethes	1	54	216	1470	7840	4405078	FALSE	Insecta	NA	Meligethes solidus	5877734
Anogcodes ustulata	(F., 1787)	NA	FUZZY_WITHOUT_AUTHOR	98	ACCEPTED	18673	21397	NA	NA	NA	37952	0a	species	NA	accepted	50937	2015-04-29	NA	NA	45974	Animalia	NA	species	9813725	Anogcodes ustulatus (Scopoli, 1763)	Anogcodes ustulatus	SPECIES	Animalia	Arthropoda	Coleoptera	Oedemeridae	Anogcodes	1	54	216	1470	4749	4407438	FALSE	Insecta	NA	Anogcodes ustulatus	9813725
